campus,teachers,pct_begin,pct_1to5,pct_6to10,pct_11to20,pct_over20,avg_yrs_exp,avg_yrs_dist,stud_per_tchr,tchr_sal,admin_sal
'057905145,44,4.5,52.3,20.5,18.2,4.5,7.1,6.2,16.5,58216,66518
'057905147,54.3,7.4,44.2,7.4,25.4,15.6,10,7.1,16.4,55466,71377
'057905148,28.3,1.2,24.7,14.1,42.3,17.6,12.4,8.1,15.1,57868,70750
'057905149,33,3,60.6,6.1,24.2,6.1,7.4,4.8,15.3,55521,72600
'057905152,33.5,0,53.7,14.9,22.4,9,8.1,6.4,14.5,57410,74649
'057905153,35.7,5.6,33.6,16.8,28,16,11.3,8.5,15.7,58237,76475
'057905154,44.2,4.5,43,15.8,23.1,13.6,9.6,7.6,17.6,57254,76960
'057905155,34,8.8,23.5,5.9,47.1,14.7,12.9,10.1,15.1,55119,67638
'057905156,33,6.1,42.4,21.2,24.2,6.1,7.8,6.5,14.6,56214,66181
'057905157,24.8,4,56.4,14.1,21.4,4,7.2,5.4,11.2,56211,79007
'057905158,28,0,50,17.9,21.4,10.7,8.6,6.5,14.9,55212,68695
'057905159,49,14.3,32.7,12.2,24.5,16.3,10.7,7.9,15.4,56332,69816
'057905160,17,0,8.8,23.5,61.8,5.9,13.6,11,12,58512,74216
'057905161,34.5,11.6,49.3,8.7,20.3,10.1,7.4,6.1,15.3,54028,69025
'057905162,41,2.4,36.6,9.8,26.8,24.4,13.3,11.3,15.9,63293,89518
'057905163,30,0,53.3,20,10,16.7,10.2,6.7,13.7,57059,73283
'057905164,39,5.1,35.9,20.5,28.2,10.3,10,7.1,15.5,56076,68210
'057905166,40.4,12.4,47,19.8,10.9,9.9,7.4,5.5,18.2,55454,73625
'057905167,42,7.1,47.6,26.2,9.5,9.5,7.6,6.1,17.5,55408,70885
'057905168,32.5,6.2,33.8,18.5,27.7,13.8,10.7,8.1,15.7,56335,74922
'057905169,39.8,4.4,37.7,22.6,22.6,12.6,10.1,7.8,15.5,57531,66687
'057905170,34,5.9,38.2,23.5,25,7.3,9.1,7.6,15,57706,72102
'057905171,52.6,1.9,17.1,15.2,33.4,32.3,15.2,11.9,17.6,63318,86000
'057905172,39.5,7.6,32.9,7.6,32.9,19,12.8,10.3,16.5,57573,69367
'057905173,38.5,10.4,39,11.7,27.3,11.7,10.1,8.5,14.7,56478,83822
'057905174,26,3.8,34.6,30.8,19.2,11.5,9.9,7.9,13.4,57785,81500
'057905175,38,7.9,18.4,18.4,42.1,13.2,12.2,10,15.2,59351,73604
'057905176,42.2,7.1,42.7,23.7,24.2,2.4,7.4,5.4,14.7,56626,69134
'057905177,30,6.7,60,20,6.7,6.7,5.8,4,17,55568,67161
'057905178,26,3.8,38.5,15.4,19.2,23.1,11.1,9.8,15.8,57048,75375
'057905180,35,11.4,31.4,17.1,34.3,5.7,9.6,7.4,15.1,56202,64683
'057905181,28.1,3.6,35.5,21.3,27.2,12.4,11.2,7.2,15.9,57271,81369
'057905182,54.3,7.4,57.1,19,12.9,3.7,6.1,4.7,14.4,55472,67000
'057905183,32,0,28.1,21.9,21.9,28.1,13.2,12.1,17,58292,81541
'057905184,20,5,40,10,30,15,11.1,9.6,14.7,57887,101000
'057905185,24,12.5,33.3,20.8,12.5,20.8,11.1,7.8,15,58464,73070
'057905186,23,0,30.4,10.9,50,8.7,11.9,10.4,14,59701,80418
'057905187,46.5,19.4,30.1,19.4,21.5,9.7,8,6.1,16.6,55520,75122
'057905188,40.2,9.9,55.3,12.4,12.4,9.9,7.6,6,16,55824,77224
'057905189,21.5,9.3,46.5,14,18.6,11.6,9.3,7.4,14.5,56739,77304
'057905190,33,9.1,21.2,21.2,33.3,15.2,11.6,8.9,16.2,58270,66905
'057905191,28,21.4,17.9,14.3,35.7,10.7,10,8.1,17.2,56947,71050
'057905192,22.5,20,40,4.4,26.7,8.9,7.2,5.8,14.4,52663,73880
'057905193,35.3,5.7,17,17.7,42,17.7,13.4,10.4,14.6,59718,76509
'057905194,24.4,4.1,50.9,12.3,20.5,12.3,8.8,6.4,14.2,54967,71750
'057905195,33,6.1,54.6,14.4,15.2,9.8,8.7,6.5,15.2,56793,88333
'057905196,18,0,33.3,25,30.6,11.1,11.4,10.4,12.6,60475,80555
'057905197,25,8,20,20,36,16,12.2,11.6,14.4,58661,76007
'057905198,36.3,5.5,44.1,13.8,14.6,22,9.9,8.4,16,57364,74354
'057905199,35.2,0,19.9,19.9,34.6,25.6,14.6,13,16.1,59099,75753
'057905200,42.5,2.4,49.4,14.1,23.5,10.6,8.2,6.1,17.2,54532,72906
'057905201,33,3,15.2,3,33.4,45.4,21.4,19.7,15.5,60121,80102
'057905202,37,13.5,56.8,10.8,5.4,13.5,6.8,3.9,15.9,54726,67824
'057905203,37,5.4,45.9,24.3,18.9,5.4,7,5.4,13.6,58823,84944
'057905204,61.5,7.4,22.8,22.8,24,23.1,12.1,10.7,16.6,57948,68924
'057905205,43,4.7,41.9,16.3,23.3,14,8.8,5.8,17,55595,67950
'057905206,31.3,0,45.9,12.8,35,6.4,9.7,7.2,16.2,56327,83950
'057905207,31,48.4,19.4,12.9,19.4,0,4.7,4.3,15.5,52356,64051
'057905208,40,10,45,12.5,22.5,10,8.7,4.8,17.5,55407,70647
'057905209,44,11.4,38.6,25,22.7,2.3,6.8,5.1,16.8,55529,69377
'057905210,43,0,34.9,11.6,25.6,27.9,14.9,12.9,17.3,58317,69261
'057905211,40,5,40,25,20,10,8.1,7.3,16.4,56341,66085
'057905212,22.9,4.4,46.3,4.4,21.2,23.7,11.9,10.2,15.3,55934,108000
'057905213,27,3.7,44.4,22.2,18.5,11.1,10.2,7.4,15.7,56408,70972
'057905215,26,7.7,38.5,7.7,38.5,7.7,9.5,8.5,14.3,55357,78368
'057905216,48,2.1,25,22.9,39.6,10.4,11,7.8,14.3,58730,65317
'057905217,13.2,15.2,0,30.3,27.3,27.2,16.7,11.6,15.2,62904,98220
'057905218,73.3,10.9,32.8,17.7,29,9.6,9.6,7.1,16.3,55264,67427
'057905219,20.6,9.7,27.1,4.9,21.9,36.4,15.4,13.8,14.2,57946,79983
'057905220,25,8,12,24,23.9,32,16.2,11.7,12,58649,59943
'057905222,38.7,7.7,36.2,18.1,27.7,10.3,9.2,7,16.2,57196,72866
'057905224,24,0,12.5,45.8,25,16.7,12.5,10.6,14.9,60082,83270
'057905225,38,5.3,35.5,13.2,31.6,14.5,12,10.1,13.9,56603,68721
'057905226,34,2.9,26.5,38.2,20.6,11.8,9.9,8.2,15.4,56807,68494
'057905228,21,7.1,47.6,19,9.5,16.7,8.8,7.1,10.2,55846,75739
'057905229,48,10.4,35.4,27.1,18.8,8.3,7.5,7,17.1,55233,79912
'057905230,29.3,3.4,3.4,28.4,40.9,23.9,16.5,11.9,14.3,58956,75500
'057905232,32,3.1,46.9,15.6,25,9.4,9.1,7.8,15.7,56462,68450
'057905233,33.3,6,30,25,21,18,11.6,9,15.2,58666,75904
'057905234,38,5.3,36.8,10.5,28.9,18.4,10,7.6,17.3,57241,71744
'057905235,32,0,50,12.5,28.1,9.4,9.2,6.8,11.7,55719,75829
'057905236,36.1,5.5,58.1,5.5,16.6,14.2,8.6,5.7,14.6,54602,66899
'057905237,40.2,5,34.8,22.4,29.8,8,10.5,8.7,15.1,55526,66910
'057905239,38.7,5.2,38.7,18.1,31,7.1,9.1,8.6,15.8,58550,79000
'057905240,40.9,4.9,46.4,19.5,17.1,12.1,9.5,7.3,16.1,57493,72010
'057905241,3.1,0,0,32,0,68,27.3,23.5,1.3,68670,84000
'057905244,44,18.2,38.6,4.5,31.8,6.8,8.1,6.8,17.6,54543,66545
'057905247,39.5,5.1,30.4,20.3,40.5,3.8,10,8.4,16.8,56684,70120
'057905250,34,0,47.1,23.5,8.8,20.6,10.9,9,15.6,57147,74388
'057905260,28,3.6,39.3,17.9,25,14.3,9.9,8.7,14.6,56624,70118
'057905263,22,4.5,22.7,13.6,36.4,22.7,14.1,10.7,14.2,59537,59143
'057905264,37,0,35.1,8.1,27,29.7,14.6,11.8,16.3,58211,70824
'057905265,36,0,38.9,11.1,33.3,16.7,11.7,9.1,15.6,58235,72692
'057905266,32,6.2,46.9,15.6,21.9,9.4,8.8,6.6,15,55172,68966
'057905268,24.9,8,42.2,21.7,20.1,8,8.4,6.2,13.1,56639,69487
'057905269,24,0,50,16.7,25,8.3,8.1,6.8,13.4,58779,68708
'057905270,39.1,5.1,49.9,15.3,22,7.7,7.8,4.6,13.8,56914,75375
'057905271,41,0,46.3,17.1,31.7,4.9,8.7,6.9,17.7,55838,71629
'057905272,30,6.7,40,23.3,16.7,13.3,9.1,6,14.8,56127,78500
'057905273,36,11.1,38.9,13.9,27.8,8.3,8.3,6.4,15.4,54493,69669
'057905274,43.1,4.6,41.7,16.2,20.9,16.5,11.5,10.3,17.2,58285,66800
'057905275,33,3,51.5,18.2,18.2,9.1,8.6,7.5,16.8,58606,74641
'057905276,43,16.3,44.2,16.3,23.3,0,5.9,4.5,16.8,54925,66368
'057905277,32,12.5,34.4,6.3,28.1,18.7,12.1,8.6,16.8,56491,71425
'057905278,36,2.8,55.6,19.4,22.2,0,7,4.9,15.6,59142,72113
'057905279,41.6,3.8,38.5,19.2,24,14.4,9.9,7.9,16.3,56962,68524
'057905280,66.1,4.7,28.7,25.7,21.2,19.7,11.1,9.7,17.3,58350,68861
'057905281,33,15.2,24.2,9.1,39.4,12.1,10.3,8,14.2,57166,65458
'057905283,30,16.7,20,26.7,23.3,13.3,9.6,7.7,13.3,55771,69100
'057905284,42.5,4.7,25.9,11.8,44.7,12.9,11.6,9.4,17.9,57448,75247
'057905285,13.5,7.4,37,22.2,22.2,11.1,8.5,6.5,15.3,56444,80112
'057905286,46,8.6,32.6,15.2,30.5,13.1,10.5,8.9,13.9,57602,74246
'057905287,38,9.2,50,18.4,22.4,0,6.4,4.5,15.5,54312,68787
'057905289,34,26.5,38.2,5.9,26.5,2.9,6.6,4.1,16.4,56600,68681
'057905301,55,3.6,52.7,23.6,14.5,5.5,6.7,5.1,16.7,54937,69298
'057905302,,,,,,,,,,,
'057905303,41,7.3,56.1,14.6,22,0,5.7,5.1,17.1,53822,75849
'057905304,40.8,7.4,51.5,10.5,23.3,7.4,8.1,6.2,16.4,54402,68200
'057905305,41,7.3,51.2,12.2,24.4,4.9,7.4,5.6,15.6,55313,67726
'057905306,19,5.3,47.4,31.6,10.5,5.3,6.6,3.5,15.5,58185,78337
'057905352,76,13.2,52.6,15.8,14.5,3.9,5.8,4,16.1,54672,66275
'057905353,83,18.1,50.6,14.5,12,4.8,5.6,4.1,16,53933,70953
'057905354,53,18.9,32.1,17,20.8,11.3,8.3,6.3,14,55087,68893
'057905355,12.2,8.2,46.3,8.2,25.1,12.3,9,5.8,14.8,56567,
'057905356,14.6,9,35.5,4.5,40.5,10.5,10.7,7.2,18.8,59072,83000
'057905357,12,3.4,35.5,29.4,23.3,8.4,8.4,6,19,57940,94253
'057905359,15.7,9.3,6.4,19.1,39.6,25.7,13.7,10.4,12.5,59121,78030
'057905360,42,14.3,52.4,11.9,19,2.4,5.6,3,12.7,54316,72640
'057905380,56.8,8.8,30.1,12.3,31,17.8,12.9,9.3,15.1,58279,78863
'057905381,15.6,3.8,24,36.4,20.6,15.3,11.4,8.9,10.7,60545,56900
'057905382,22.1,13.6,49.2,31.8,5.4,0,5.5,2.9,11.9,56143,74420
'057905383,6.3,15.9,47.7,15.9,20.5,0,7.4,6.1,12.7,55578,74487
'057905389,17,0,29.4,23.5,17.6,29.4,12.9,8.9,12.4,59416,108546
'057906001,212.3,16.2,31.9,19.9,19.1,12.9,9.3,4.3,15.3,54352,81510
'057906003,3.3,0,30.4,0,39.1,30.4,18,11.3,28.9,67986,
'057906007,,,,,,,,,,,
'057906008,7.9,0,12.7,0,62,25.3,15.8,7,5.3,57661,89304
'057906041,43.5,16.6,30.1,18.4,28,6.9,8.1,2.9,13.7,54081,73407
'057906042,56.3,17,33.7,10.7,29.7,8.9,9,3.7,12,54536,77502
'057906043,60.9,5,28.7,33.3,29.2,3.8,9.3,5.9,16.3,52939,77985
'057906102,39.5,5.1,30.3,17.7,39.3,7.6,9.8,5.6,14.5,54825,52209
'057906103,29.9,5,13.4,30,38.2,13.4,12.2,7.1,14.2,55507,74206
'057906106,34.6,0,25.5,14.5,48.5,11.6,11.5,5.3,13,53594,75250
'057906107,44.8,17.4,35.7,20.1,22.3,4.5,7,4.8,14.8,53569,74886
'057906108,46.8,7.1,19.2,8.5,44,21.1,13,5.4,16.4,55843,75952
'057906109,43.5,8,27.6,18.4,34.4,11.5,11.2,5.1,16,53738,70374
'057906110,25.7,7.4,38.5,26.9,27.2,0,6.9,3.5,15.2,53492,79300
'057906111,1.7,89.6,5.2,5.2,0,0,2.5,0.8,17.9,51183,
'057907001,230.4,14.8,31.3,14.3,28.8,10.7,9.9,6.1,18.5,57902,83364
'057907004,9.8,0,0,0,42.7,57.3,22.5,17.4,10.8,62747,103783
'057907005,20.2,7.7,31.4,19.8,32.4,8.6,9.3,6.1,3,56094,92201
'057907007,,,,,,,,,,,
'057907041,43.6,18.4,51.7,18.9,10.1,0.9,6.4,4,14.1,52618,84605
'057907042,46.3,8.8,45.2,16.4,24.2,5.4,8.9,5,14.9,55328,85164
'057907043,50.4,10,45.6,10.8,27.1,6.5,8.4,4.8,14.4,55444,81983
'057907101,30,0,33.3,26.7,23.3,16.7,10.5,4.3,15.6,55400,82810
'057907102,30,10,26.7,6.7,40,16.7,11,5.5,16.1,55558,80240
'057907103,28.1,28.1,26.2,10.8,20.7,14.2,8.4,5.4,17.5,55007,79400
'057907104,35.6,11.2,36.2,16.9,21.6,14.1,9,3.3,16.6,54320,76665
'057907105,25.4,15.6,41.1,11.8,23.6,7.9,7.4,4.2,17.3,54976,74658
'057907106,24.6,23.7,23.4,20.3,20.3,12.2,7.9,2.6,14.4,55771,83627
'057907107,33.7,14.5,20.8,23.8,23.8,17.1,11,6.6,16.1,55567,74959
'057907108,37.1,18.9,43.6,20.9,11.3,5.4,6.1,4.2,19.4,54302,80603
'057907109,36.3,13.5,25,19.3,22.9,19.3,10.5,7.6,18.5,56176,84991
'057907110,35.5,11.2,33.5,12.1,26.3,16.9,10.3,6.9,15.3,56123,80218
'057907111,35,11.4,25.7,25.7,28.6,8.6,9.4,5.3,13.9,55436,84396
'057907112,37.8,12.9,42.3,10.4,29.1,5.3,7.8,4.3,15.5,54206,78940
'057909002,168.3,2.4,31.6,15.1,33.9,17.1,11.6,8.7,14.8,58412,98903
'057909003,156.5,5.7,29.6,18.6,33.3,12.8,11,7.1,13.8,58321,103187
'057909004,168,7,27.3,19.3,38.4,8,10.6,7.1,16,57600,96161
'057909005,151.3,3.9,27,23.8,34.4,11,10.9,7.2,15.1,57762,99178
'057909006,33.1,3,24.1,21.5,24.2,27.2,14.8,8.1,8.5,58192,100743
'057909007,,,,,,,,,,,
'057909008,141.1,6.3,27.2,19.1,29.1,18.2,12,7.9,15.2,58957,98841
'057909009,166.3,1.7,23.2,29,31.5,14.6,11.7,7.3,15.5,58343,96162
'057909010,169.8,2.9,31.7,16.3,32.6,16.4,11.6,7,16.3,58065,96827
'057909041,51.5,3.8,28.1,21.3,26.4,20.3,13.2,10,18.4,57186,96491
'057909042,67.9,11.6,36.4,14.7,28.7,8.6,9.1,6.8,13.8,55329,90697
'057909043,72.5,9.7,39.1,24.9,17.8,8.6,8.8,5.6,13.9,55396,94132
'057909045,72.2,1.4,42.8,16.6,25.1,14.1,10.2,6.4,18.4,55614,96285
'057909046,70.2,4.1,43.5,13,35.1,4.3,9,6.8,15.8,55373,95752
'057909047,64.7,9.3,22.9,17.3,39,11.6,11.3,7.9,17.1,55933,94086
'057909048,53.9,5.4,38.5,22.1,29.4,4.5,8.8,6.5,15.5,55064,95176
'057909049,70,5.4,32.7,23.8,28.2,9.9,10.2,6.4,16.3,55751,92362
'057909050,65.6,9,23.9,21.4,30.4,15.4,11.2,8,15.7,55784,88566
'057909051,57.6,19.1,28.4,26.1,26,0.4,6.7,3.4,15,54537,86207
'057909052,69,6.4,29.5,19.8,35.3,9.1,10.4,7.6,17.8,56023,84616
'057909053,45.2,0.8,20.6,9.6,39.5,29.5,12.8,7.8,1.5,58867,92755
'057909054,65.2,12.6,19.7,19.4,24,24.3,13.1,10.3,15.9,56826,91950
'057909101,35.1,2.9,42.7,17.1,26,11.4,10.3,6.6,16.3,55647,90325
'057909102,34.4,2.7,26.1,14.5,41,15.7,13.3,8.3,17.8,56364,90008
'057909103,30.7,13.1,42.3,26.7,14.7,3.3,6.6,3,15.6,54135,89066
'057909105,22.5,4.3,20.7,17.8,45.7,11.5,12.4,7.4,13.5,55656,93731
'057909107,37,2.7,29,22.5,35.1,10.8,10.2,8.2,15.6,55456,89738
'057909108,46,4.3,34.8,21.7,32.6,6.5,8.5,6.6,16.9,54758,97031
'057909109,23.6,8.4,56.6,7.3,23.3,4.3,7.7,5.6,12.8,54482,88714
'057909110,34,5.9,26.5,20.6,42.7,4.3,9.8,6.1,14,55325,75120
'057909111,31.9,0,22,26.3,26.3,25.5,13.5,10.7,15.2,56109,89656
'057909112,24.5,0,16.4,19.2,44,20.4,14,9.8,14.3,56476,87634
'057909113,35,8.1,28.8,20,28.8,14.3,10.8,8.2,13.9,55562,86920
'057909115,32.5,3.1,21.5,9.2,47,19.2,14.2,11,17.9,56733,93808
'057909116,37.1,5.4,40.4,10.8,26.9,16.5,10.7,7.9,15.7,55510,88012
'057909117,21.2,0,28.3,16.5,30.8,24.4,12.5,8.5,14.2,56075,86856
'057909119,30.3,9.9,32.6,19.8,31,6.6,8.7,6.2,16.4,54809,84894
'057909120,29.6,3.4,40.1,11.2,38.2,7.1,10,7.2,13.6,55007,88480
'057909121,32.3,9.3,49.6,0,24.8,16.4,9.9,8,17,55696,91183
'057909122,30.8,3.2,9.7,14.9,31.2,40.9,18.2,14.1,13.6,57039,88440
'057909123,35.9,0,31,13.3,36.2,19.5,11.6,7,15.6,55575,88259
'057909124,30,6.7,30,36.7,23.3,3.3,8.2,5.6,16.8,54694,88635
'057909125,29.1,0,24.1,21.7,38.9,15.3,11.9,7.8,14.5,55892,87281
'057909126,37.8,5.3,33.8,15.9,29.1,16,11.4,8.8,15.5,56276,92040
'057909127,30,3.3,23.3,30,33.3,10,10.7,8.1,15.4,55313,87663
'057909128,46.1,0,30.4,21.7,39.1,8.9,10.5,7.7,16.2,55216,91516
'057909129,35,8.6,28.6,25.7,28.6,8.6,9,6,15.7,54905,88803
'057909132,32.4,3.1,30.8,15.4,31.1,19.5,13.4,8.6,16.3,56674,89838
'057909133,34.3,0,40.8,18.2,25.5,15.5,11,6.1,14.5,55619,86539
'057909134,34.7,2.9,23.1,20.8,40.3,13,12.4,8.6,16.4,55948,92702
'057909135,20.5,0,34.2,36.5,27.9,1.4,10.6,6.5,2.7,54772,99783
'057909136,36.2,2.8,22.3,22.1,33.5,19.3,12.2,9.4,16.8,56069,83111
'057909137,32.6,9.2,21.5,15.8,28.9,24.6,13.5,10.3,16.8,56445,90030
'057909138,36.9,0,16.3,26.8,37.9,19,12.6,9,16.6,55977,92482
'057909139,24.7,0,48.6,24.3,13.8,13.3,9.8,5.3,12.3,55184,95565
'057909140,30.1,3.3,29.9,19.9,26.6,20.2,12.3,10.2,14.9,56077,89562
'057909141,34.3,8.7,32.4,32,14.6,12.2,10,7.1,16.8,55692,90909
'057909142,26.4,3.8,15.2,34.1,46.9,0,10,5.9,14.2,54934,88381
'057909143,44.3,6.5,24.8,25.9,29.2,13.5,11.2,8.7,16.8,55871,88811
'057909144,37.3,5.4,26.9,0,23.5,44.2,16.6,12.6,17.8,57704,85462
'057909145,38,0,23.7,14,36.8,25.5,15.6,12.3,16,57441,87072
'057909146,39.3,0,43.3,15.3,25.6,15.8,11.5,7.1,16.6,55706,90004
'057909147,30.4,9.9,26.3,20.7,29.7,13.4,11.4,7.9,15.4,55818,89386
'057909148,37.8,0,29.1,21.1,36.5,13.3,11.4,8.5,16.6,55425,92445
'057909154,35.2,5.7,28.4,19.9,36.9,9.2,11.3,7.6,14.7,55450,91127
'057909155,46.2,10.8,15.2,27.3,33.1,13.6,11.9,9.1,18.1,55870,85045
'057909156,39.3,12.3,17.8,28.8,38.1,3,10.1,7.6,17.2,55022,90742
'057909157,40.2,7,40.1,26.1,16.9,10,8.4,6,15.4,54722,86636
'057909158,30.3,3.3,23.2,26.5,39.6,7.5,11.6,9.2,16.4,55498,88970
'057909159,41.8,2.2,38.4,24.6,16.9,17.8,10.8,7.2,17.4,55493,89566
'057909180,15.1,0,26.3,26.3,47,0.3,10.7,8.3,36.5,54924,92786
'057909181,14.5,6.9,27.5,8.5,27.5,29.7,13.4,9.8,35.7,56296,90080
'057910001,50.2,5.4,39.8,27.8,19.1,8,8,4.7,16.6,56545,79330
'057910002,193.3,9.1,39.1,19.5,23.7,8.6,8.6,5.2,14.5,57700,81815
'057910003,206.2,7.6,34.4,24.1,18.7,15.2,10,7,16.4,57946,87050
'057910004,31.8,6.6,32.6,30.4,21.4,9.1,8.1,5.6,2.3,55996,90158
'057910007,,,,,,,,,,,
'057910009,19.8,10.1,55.6,10.9,18.3,5.1,6.6,4.5,19.9,52783,86621
'057910010,95.9,18.6,29.3,21.6,20.5,10,8.4,5.1,18.1,57843,78903
'057910011,23.7,17.6,41.4,23.2,17.8,0,5.6,2.2,12.2,56343,79221
'057910041,54.1,10.8,52.9,14.8,15.9,5.5,6.4,4.3,14.7,56675,80135
'057910045,64,6.4,47.8,16.4,18.6,10.9,7.9,6,15.5,56608,77625
'057910047,40.7,18,45.4,14.7,12.1,9.8,6.1,4.7,14.5,54920,78753
'057910050,56.1,8.9,34.9,21.4,27.6,7.1,8.2,5.6,16,56613,74358
'057910051,41.3,16.8,41.8,15.3,21.3,4.8,6.5,4.7,12.2,55554,77533
'057910052,54.6,10.8,40,17,21.4,10.8,8.7,6.8,13.6,56572,76945
'057910053,76.1,6.1,43.1,21.6,14.8,14.3,9.2,6.8,11.8,56708,77996
'057910054,5.4,33.4,39.3,12.4,14.9,0,4.1,3.2,13.4,55657,127200
'057910101,35,11.4,48.6,24.3,8.6,7,6.1,4.8,14.4,55314,85888
'057910102,35.9,13.5,44.6,11.2,22.3,8.4,7.3,6,13.8,55599,71746
'057910104,35.4,14.1,39.3,32.5,11.3,2.8,5.8,2.8,12.4,52545,75500
'057910106,37.1,10.8,45.5,6,27,10.8,8.8,6.8,16,56452,79765
'057910109,48.7,10.3,45.2,22.6,18.4,3.5,6.8,3.2,16.3,55714,78627
'057910113,46,15.2,39.1,17.4,21.7,6.5,7.4,4.7,17.6,55382,74750
'057910118,36,0,36.1,25,30.6,8.3,9.7,7.9,15.7,56710,73775
'057910119,52.6,9,30.4,30.4,17.1,13.1,8.5,6.4,16.4,56389,65817
'057910120,28.3,10,31.7,10.6,37,10.6,10.3,7.3,14.3,57106,81556
'057910121,61.3,1.6,22.8,40.8,31.5,3.3,9.5,4.9,16.3,56513,71571
'057910122,33.5,9,38.8,20.9,22.4,9,8.1,5.1,14.6,56215,70878
'057910123,33,0,30.3,12.1,21.2,36.4,14.5,10.7,16.2,58907,72983
'057910124,36.8,5.4,43.2,37.3,10.9,3.2,7,5,15.7,55836,68028
'057910125,32.3,12.3,48.3,12.7,18.5,8.1,7.5,4.3,15.3,55516,78250
'057910126,39.5,12.7,25.4,29.4,19.9,12.7,9.7,7,16.4,56693,82925
'057910128,36.8,16.3,32.5,19.9,25.9,5.4,7.9,4.4,13.2,56250,71046
'057910129,40.8,7,22.1,27,31.6,12.3,11.5,9.1,16.6,57609,67594
'057910130,37.6,8,29.2,18.6,33.6,10.6,9.6,6,16.5,56544,75750
'057910131,40.5,22.2,24.7,27.2,25.9,0,6.4,3.6,15.6,55676,77738
'057910132,41.5,16.8,43.4,14.5,21.7,3.6,6.6,3.6,13.5,55828,64407
'057910134,26.1,11.1,49.8,8.4,23,7.7,7.1,5.5,10.7,56004,84344
'057910135,12.2,8.2,16.6,8.7,50.2,16.4,12,7.4,10.4,57596,88225
'057910136,0,0,0,0,0,0,0,0,-2,,
'057910137,57.4,5.5,45.3,27.8,14.3,7,7.4,4.1,14.2,56367,68358
'057910138,29.9,10,63.5,10,13.4,3.1,5,4.1,20,56256,64319
'057911001,149.4,0.7,15.6,22.6,38.2,22.9,14.8,7.6,14.6,56177,88482
'057911041,72.2,1.2,24.6,26.9,28.3,19,12.4,8.3,15.3,55178,91014
'057911101,36.8,0,43.3,19,26.6,11.1,10.9,5.8,14.4,54697,88225
'057911102,42.7,0.8,26.7,7,37.4,28.1,14.5,8.4,16,55303,91980
'057911103,45.3,0,14,39.7,33.4,12.9,11.9,4.9,15.3,54186,89311
'057911104,44.3,2.3,7.7,38.2,33.8,18.1,12.9,6.7,14.7,54355,86779
'057911105,63,2,25.8,19.6,32.3,20.3,12.8,8,17.9,55314,90456
'057912002,173.5,10.9,36.6,21,23.7,7.7,8.6,5.2,14.8,58018,94534
'057912003,180.9,9.3,32.4,25.8,20.6,11.9,9.5,5.5,15.4,58586,90463
'057912004,179.1,5,38.4,25.5,21,10.1,9,5.7,13.8,58491,89085
'057912005,49,14,36.2,15.9,19.7,14.3,8.9,6,7.1,57515,82147
'057912006,118,11.7,40.7,15.5,20.9,11.2,8.8,4.8,14.7,58722,104423
'057912007,,,,,,,,,,,
'057912041,72,4.2,49.4,10.3,23.6,12.5,9.4,7.3,13.5,57884,79414
'057912042,57.4,12.1,48.7,17.4,14.8,7,7,4.7,15.8,56105,79337
'057912043,69,8,31,25.3,27.1,8.7,8.9,6,14.4,57287,78753
'057912044,55.9,8.9,32.4,14.3,40.7,3.6,9,7.1,15,57586,77582
'057912045,71.5,12.4,48.4,16.8,15.4,7,6.8,4.3,13.9,56818,80553
'057912046,63.9,14.1,51.5,12.5,15.6,6.3,6.5,3.6,13.6,55680,80511
'057912048,64,6.3,41.1,23.4,22.9,6.3,8.3,5.9,13.4,57105,78588
'057912050,68.2,7.2,44.2,20.5,19.5,8.5,8.4,5,14.8,57317,77970
'057912101,47,2.1,42.6,14.9,36.2,4.3,9.3,7,16,57860,75918
'057912102,49.9,2,38.1,22,29.9,8,9.4,6.2,16.3,58314,78707
'057912103,49,4.1,38.8,26.5,20.4,10.2,8.8,3.9,13.3,57335,75015
'057912105,43,9.3,34.9,23.3,25.6,7,8.5,6.3,17.3,57672,78872
'057912106,45,2.2,33.4,24.4,28.9,11.1,10,8.2,15.4,58519,78119
'057912107,54,7.4,25.9,27.8,25.9,13,10.1,5.8,15.8,58419,78134
'057912108,53,1.9,35.9,37.7,18.9,5.7,8.4,4.9,15.6,57961,74683
'057912109,44,20.5,47.7,13.6,15.9,2.3,5,3.8,15.9,55564,74735
'057912111,44,2.3,54.5,4.5,20.5,18.2,9.4,5.2,15.2,58112,76362
'057912112,53,13.2,39.6,26.4,17,3.8,7.2,5.1,15.3,57169,75154
'057912113,49.3,0,35.1,18.2,44.6,2,9.5,5.8,15.3,58998,75489
'057912114,41,4.9,61,17.1,14.6,2.4,5.9,3.3,16.3,56728,77882
'057912116,50,4,42,28,18,8,8.4,6.9,16.7,57585,76986
'057912118,42.3,5.4,52,14.2,18.9,9.5,7.5,5.2,15.3,57875,75128
'057912119,41,2.4,50.1,17.1,26.8,3.6,8.1,5.9,15.6,58722,76526
'057912120,45,2.2,28.9,17.8,40,11.1,11.6,9.2,16.2,59349,78124
'057912121,49.9,5.8,50.1,18,22,4,7.6,3.9,17.4,57370,76647
'057912122,47,10.6,34.1,14.9,27.6,12.8,9.3,8.1,15.2,58100,77829
'057912123,48.8,5.7,32.8,28.7,28.7,4.1,8.1,3.5,16.3,57711,75814
