campus,teachers,pct_begin,pct_1to5,pct_6to10,pct_11to20,pct_over20,avg_yrs_exp,avg_yrs_dist,stud_per_tchr,tchr_sal,admin_sal
'057828002,7.7,0,64,12.5,12.8,10.7,9.7,1.8,18,46143,73510
'057828003,11.4,8.7,21.4,28.9,28.1,13,10.4,2.6,21,47218,73024
'057828004,11.3,2.1,52.1,20.3,25.5,0,6.2,3,28.9,48399,62695
'057828005,10.9,0,73.8,9.2,8.9,8.2,7.2,1.6,24,47294,54550
'057828006,7.1,0,61.9,27.8,10.3,0,5.2,1.4,18.1,44097,64393
'057829001,37.7,2.7,69.8,2.7,17.5,7.4,6.2,3.1,21.1,52229,67604
'057829002,37.6,2.7,37.1,13.3,27.2,19.7,11,5.7,14.7,53057,70031
'057830001,37.4,9.7,37.4,18.1,29.4,5.3,7.2,4.7,19.8,52268,65219
'057830002,40.9,11.1,51.6,7.9,22.3,7.1,7.1,4.1,14.2,49104,80868
'057831001,27.5,35.7,47.8,1.3,11.6,3.6,4.2,0.7,16.6,40036,60412
'057831002,19.7,13.7,63.6,13.4,9.2,0,3.8,0.6,15,44525,60512
'057833001,14.6,56.8,13.6,15.9,13.6,0,4.1,1.3,17.5,41142,73750
'057833002,13.6,61,0,39,0,0,3.1,0.9,12.4,39539,
'057833003,11.6,80,0,11.4,8.6,0,2.2,0.7,10,43097,
'057834001,11.5,0,17.3,17.3,65.3,0,11.1,7.2,30.3,55745,68236
'057834003,6,0,83.3,16.7,0,0,3.2,1.2,28.5,48816,92400
'057834004,11.1,0,45.2,9,36.8,8.9,11.1,2.4,26.1,55336,99750
'057835001,43,37.2,46.5,11.6,4.7,0,2.7,2.6,16.5,48353,65000
'057835101,9.9,40.6,49.3,0,10.1,0,2.6,2.6,14.4,46361,65000
'057835102,15,53.3,46.7,0,0,0,0.8,0.8,14.3,45242,68000
'057835103,16,18.7,75,6.2,0,0,2.3,1.9,17.2,48875,
'057835104,5,20,80,0,0,0,2.8,2.8,17.4,50300,
'057835105,1,100,0,0,0,0,0,0,11,47500,
'057836041,7.4,4,26.6,17.6,46.3,5.6,10.1,5.6,15,53354,
'057836101,14.5,4.8,41,13.7,30.8,9.8,9.9,5.6,15.3,49904,
'057837041,24.7,16.2,60.7,6.9,12.2,4,4.4,1.2,19.3,56687,64167
'057837042,20,25,45,15,15,0,4.5,1.3,16.8,53798,72862
'057837043,8,25,37.5,12.5,12.5,12.5,7.4,0,14.5,52956,60000
'057837101,30,13.3,80,3.3,0,3.3,3.2,1.3,19.6,52201,62868
'057837102,27,18.5,66.7,14.8,0,0,2.5,0.9,17.2,51741,61538
'057837103,19,21.1,68.4,10.5,0,0,2.5,0.6,18.7,51015,62270
'057839101,60.6,15.2,44.6,18.2,17.1,5,6.8,2.5,18,56304,73188
'057840001,0,0,0,0,0,0,0,0,-2,,1
'057841001,26.8,63.1,36.9,0,0,0,0.5,0.5,27.6,48657,54472
'057844001,16.2,30.7,25.9,18.6,18.6,6.2,6.2,1,9.2,49959,86340
'057844101,36.7,37.3,32.7,16.4,13.6,0,4.5,1.7,13.3,47157,54876
'057844102,19.4,28,41.1,5.1,25.7,0,5.7,0.8,12.5,47656,63999
'057845001,31.8,18.3,36.2,18.4,13.9,13.2,7.7,1.5,17.9,38128,63297
'057845002,14.8,27.6,35.6,18.4,12.2,6.1,5.4,0.5,14.8,32664,63000
'057846001,55.1,27.4,56.3,7.2,7.3,1.8,3.4,1.1,19.1,42357,80945
'057846003,29.3,21.5,51.2,10.2,13.7,3.4,5.3,1.2,11.6,42090,87000
'057847001,48.6,28.3,37,23.3,11.3,0,4.7,1.6,18.9,43775,74412
'057848001,60.4,9.9,69,8,11.4,1.7,4.2,2.1,15.8,45726,69313
'057848002,25.9,10.4,58.7,27.1,3.9,0,4.1,2.3,18.1,46566,60000
'057848003,47.5,26.1,54.9,14.7,2.1,2.1,3.4,1.5,13.1,46615,67668
'057848004,57.7,20.3,62,5.2,10.7,1.7,4.3,1.6,14.1,45978,68101
'057848005,23.8,20.1,71.5,0,8.4,0,2.9,1.9,16.4,45085,57000
'057848006,44.7,28.4,62.6,2.2,6.7,0,2,0.8,11.4,46163,71500
