campus,grad_fed,grad_tx
'057905218,.,.
'057905219,.,.
'057905220,.,.
'057905222,.,.
'057905224,.,.
'057905225,.,.
'057905226,.,.
'057905228,.,.
'057905229,.,.
'057905230,.,.
'057905232,.,.
'057905233,.,.
'057905234,.,.
'057905235,.,.
'057905236,.,.
'057905237,.,.
'057905239,.,.
'057905240,.,.
'057905241,.,.
'057905244,.,.
'057905247,.,.
'057905250,.,.
'057905260,.,.
'057905263,.,.
'057905264,.,.
'057905265,.,.
'057905266,.,.
'057905268,.,.
'057905269,.,.
'057905270,.,.
'057905271,.,.
'057905272,.,.
'057905273,.,.
'057905274,.,.
'057905275,.,.
'057905276,.,.
'057905277,.,.
'057905278,.,.
'057905279,.,.
'057905280,.,.
'057905281,.,.
'057905283,.,.
'057905284,.,.
'057905285,.,.
'057905286,.,.
'057905287,.,.
'057905289,.,.
'057905301,.,.
'057905302,.,.
'057905303,.,.
'057905304,.,.
'057905305,.,.
'057905306,.,.
'057905352,.,.
'057905353,.,.
'057905354,.,.
'057905355,.,.
'057905356,.,.
'057905357,.,.
'057905359,.,.
'057905360,.,.
'057905380,89.1,90.1
'057905381,100,100
'057905382,.,.
'057905383,.,.
'057905389,31.1,30.4
'057906001,93,93.4
'057906003,.,.
'057906007,.,.
'057906008,.,.
'057906041,.,.
'057906042,.,.
'057906043,.,.
'057906102,.,.
'057906103,.,.
'057906106,.,.
'057906107,.,.
'057906108,.,.
'057906109,.,.
'057906110,.,.
'057906111,.,.
'057907001,93.6,93.9
'057907004,36.9,35.9
'057907005,.,.
'057907007,.,.
'057907041,.,.
'057907042,.,.
'057907043,.,.
'057907101,.,.
'057907102,.,.
'057907103,.,.
'057907104,.,.
'057907105,.,.
'057907106,.,.
'057907107,.,.
'057907108,.,.
'057907109,.,.
'057907110,.,.
'057907111,.,.
'057907112,.,.
'057909002,90.4,91.9
'057909003,88.3,89.7
'057909004,93.1,94.3
'057909005,91.4,93.7
'057909006,65.1,66.7
'057909007,.,.
'057909008,93.6,94.6
'057909009,93.2,94.6
'057909010,94,95.7
'057909041,.,.
'057909042,.,.
'057909043,.,.
'057909045,.,.
'057909046,.,.
'057909047,.,.
'057909048,.,.
'057909049,.,.
'057909050,.,.
'057909051,.,.
'057909052,.,.
'057909053,.,.
'057909054,.,.
'057909101,.,.
'057909102,.,.
'057909103,.,.
'057909105,.,.
'057909107,.,.
'057909108,.,.
'057909109,.,.
'057909110,.,.
'057909111,.,.
'057909112,.,.
'057909113,.,.
'057909115,.,.
'057909116,.,.
'057909117,.,.
'057909119,.,.
'057909120,.,.
'057909121,.,.
'057909122,.,.
'057909123,.,.
'057909124,.,.
'057909125,.,.
'057909126,.,.
'057909127,.,.
'057909128,.,.
'057909129,.,.
'057909132,.,.
'057909133,.,.
'057909134,.,.
'057909135,.,.
'057909136,.,.
'057909137,.,.
'057909138,.,.
'057909139,.,.
'057909140,.,.
'057909141,.,.
'057909142,.,.
'057909143,.,.
'057909144,.,.
'057909145,.,.
'057909146,.,.
'057909147,.,.
'057909148,.,.
'057909154,.,.
'057909155,.,.
'057909156,.,.
'057909157,.,.
'057909158,.,.
'057909159,.,.
'057909180,.,.
'057909181,.,.
'057910001,100,100
'057910002,89.5,89.6
'057910003,96.3,98.1
'057910004,.,.
'057910007,.,.
'057910009,61.8,63.2
'057910010,99.2,99.2
'057910011,.,.
'057910041,.,.
'057910045,.,.
'057910047,.,.
'057910050,.,.
'057910051,.,.
'057910052,.,.
'057910053,.,.
'057910054,.,.
'057910101,.,.
'057910102,.,.
'057910104,.,.
'057910106,.,.
'057910109,.,.
'057910113,.,.
'057910118,.,.
'057910119,.,.
'057910120,.,.
'057910121,.,.
'057910122,.,.
'057910123,.,.
'057910124,.,.
'057910125,.,.
'057910126,.,.
'057910128,.,.
'057910129,.,.
'057910130,.,.
'057910131,.,.
'057910132,.,.
'057910134,.,.
'057910135,.,.
'057910136,.,.
'057910137,.,.
'057910138,.,.
'057911001,98.1,98.8
'057911041,.,.
'057911101,.,.
'057911102,.,.
'057911103,.,.
'057911104,.,.
'057911105,.,.
'057912002,96.7,96.9
'057912003,96.6,96.5
'057912004,91.2,91.5
'057912005,81.9,83.5
'057912006,99.5,99.5
'057912007,.,.
'057912041,.,.
'057912042,.,.
'057912043,.,.
'057912044,.,.
'057912045,.,.
'057912046,.,.
'057912048,.,.
'057912050,.,.
'057912101,.,.
'057912102,.,.
'057912103,.,.
'057912105,.,.
'057912106,.,.
'057912107,.,.
'057912108,.,.
'057912109,.,.
'057912111,.,.
'057912112,.,.
'057912113,.,.
'057912114,.,.
'057912116,.,.
'057912118,.,.
'057912119,.,.
'057912120,.,.
'057912121,.,.
'057912122,.,.
'057912123,.,.
'057912124,.,.
'057912161,.,.
'057912162,.,.
'057912163,.,.
'057913001,97.5,97.9
'057913041,.,.
'057913042,.,.
'057913101,.,.
'057913102,.,.
'057913103,.,.
'057913106,.,.
'057913107,.,.
'057913109,.,.
'057913111,.,.
'057914001,87.3,88.7
'057914002,93.7,94.5
'057914003,90.6,91.9
'057914004,97.8,98.7
'057914005,92.4,93
'057914007,.,.
'057914041,.,.
'057914042,.,.
'057914043,.,.
'057914044,.,.
'057914045,.,.
'057914046,.,.
'057914047,.,.
'057914048,.,.
'057914101,.,.
'057914102,.,.
'057914103,.,.
'057914104,.,.
'057914105,.,.
'057914106,.,.
'057914107,.,.
'057914108,.,.
'057914109,.,.
'057914110,.,.
'057914111,.,.
'057914112,.,.
'057914113,.,.
'057914114,.,.
'057914115,.,.
'057914116,.,.
'057914117,.,.
'057914118,.,.
'057914119,.,.
'057914120,.,.
'057914121,.,.
'057914122,.,.
'057914123,.,.
'057914124,.,.
'057914125,.,.
'057914126,.,.
'057914127,.,.
'057914128,.,.
'057914129,.,.
'057914130,.,.
'057914131,.,.
'057914132,.,.
'057914133,.,.
'057914656,52.4,52.6
'057916002,88.8,90.8
'057916003,93.1,94.2
'057916004,91.8,93.2
'057916005,80.7,85.3
'057916006,.,.
'057916008,-1,-1
'057916042,.,.
'057916044,.,.
'057916045,.,.
'057916047,.,.
'057916048,.,.
'057916049,.,.
'057916050,.,.
'057916051,.,.
'057916101,.,.
'057916102,.,.
'057916103,.,.
'057916104,.,.
'057916105,.,.
'057916106,.,.
'057916107,.,.
'057916108,.,.
'057916109,.,.
'057916110,.,.
'057916111,.,.
'057916112,.,.
'057916113,.,.
'057916114,.,.
'057916115,.,.
'057916116,.,.
'057916117,.,.
'057916118,.,.
'057916119,.,.
'057916120,.,.
'057916121,.,.
'057916122,.,.
'057916123,.,.
'057916124,.,.
'057916125,.,.
'057916126,.,.
'057916127,.,.
'057916128,.,.
'057916129,.,.
'057916130,.,.
'057916131,.,.
'057916132,.,.
'057916133,.,.
'057916134,.,.
'057916135,.,.
'057916137,.,.
'057916142,.,.
'057916143,.,.
'057916144,.,.
'057916145,.,.
'057916146,.,.
'057919001,96.7,99.2
'057919041,.,.
'057919101,.,.
'057922001,99.1,99.8
'057922003,100,100
'057922042,.,.
'057922043,.,.
'057922044,.,.
'057922101,.,.
'057922103,.,.
'057922105,.,.
'057922106,.,.
'057922107,.,.
'057922108,.,.
'057922109,.,.
'057922110,.,.
'057922111,.,.
'057922112,.,.
